"Accuracy","Regret","Approach","Scenario","Data"
0.722755555555556,20.3158792660752,"DWOLS","linear interactions","train"
0.719377777777778,20.2769888563251,"DWOLS","linear interactions","train"
0.727377777777778,19.5043214330651,"DWOLS","linear interactions","train"
0.727822222222222,19.5919872688781,"DWOLS","linear interactions","train"
0.7288,19.4879228776739,"DWOLS","linear interactions","train"
0.712622222222222,21.3550869600823,"DWOLS","linear interactions","train"
0.724533333333333,19.3018976327982,"DWOLS","linear interactions","train"
0.733155555555556,18.9441061729282,"DWOLS","linear interactions","train"
0.728533333333333,19.224897523964,"DWOLS","linear interactions","train"
0.728355555555556,19.4976134195179,"DWOLS","linear interactions","train"
0.728,19.631906362115,"DWOLS","linear interactions","train"
0.748533333333333,16.5748547215247,"DWOLS","linear interactions","train"
0.730311111111111,19.1199937864636,"DWOLS","linear interactions","train"
0.729955555555556,19.9928420230366,"DWOLS","linear interactions","train"
0.718222222222222,20.7370176331994,"DWOLS","linear interactions","train"
0.715022222222222,20.9921545177864,"DWOLS","linear interactions","train"
0.731111111111111,19.1942796897097,"DWOLS","linear interactions","train"
0.713866666666667,20.778304865894,"DWOLS","linear interactions","train"
0.714488888888889,21.7062170108009,"DWOLS","linear interactions","train"
0.7232,20.3388306765504,"DWOLS","linear interactions","train"
0.728711111111111,18.8083887918298,"DWOLS","linear interactions","train"
0.725244444444444,19.6047540910297,"DWOLS","linear interactions","train"
0.728,19.5383331607295,"DWOLS","linear interactions","train"
0.721955555555556,19.9865472011251,"DWOLS","linear interactions","train"
0.723288888888889,20.3764341117072,"DWOLS","linear interactions","train"
0.720977777777778,20.4465778088701,"DWOLS","linear interactions","train"
0.7184,20.6588805897348,"DWOLS","linear interactions","train"
0.732088888888889,18.6718610545755,"DWOLS","linear interactions","train"
0.728711111111111,19.1432782191449,"DWOLS","linear interactions","train"
0.726666666666667,19.4843751526031,"DWOLS","linear interactions","train"
0.737688888888889,18.1052379061226,"DWOLS","linear interactions","train"
0.723911111111111,19.4426589122587,"DWOLS","linear interactions","train"
0.719466666666667,20.2989183607991,"DWOLS","linear interactions","train"
0.717955555555556,20.5897697410711,"DWOLS","linear interactions","train"
0.720622222222222,19.6056222000267,"DWOLS","linear interactions","train"
0.716444444444444,20.3533412312487,"DWOLS","linear interactions","train"
0.723822222222222,19.6846092331343,"DWOLS","linear interactions","train"
0.727644444444444,19.9207436156766,"DWOLS","linear interactions","train"
0.715822222222222,21.5460060187923,"DWOLS","linear interactions","train"
0.721955555555556,20.2220456532286,"DWOLS","linear interactions","train"
0.455377777777778,47.5449744918276,"G-Estimation","linear interactions","train"
0.455377777777778,47.1627649123965,"G-Estimation","linear interactions","train"
0.497244444444444,43.3842817738296,"G-Estimation","linear interactions","train"
0.528622222222222,37.7844811710721,"G-Estimation","linear interactions","train"
0.477955555555556,43.1037604831753,"G-Estimation","linear interactions","train"
0.440888888888889,46.064553861077,"G-Estimation","linear interactions","train"
0.445333333333333,44.5285127270041,"G-Estimation","linear interactions","train"
0.407466666666667,48.8614814445542,"G-Estimation","linear interactions","train"
0.450666666666667,46.0242429392379,"G-Estimation","linear interactions","train"
0.454488888888889,43.4281778082581,"G-Estimation","linear interactions","train"
0.493955555555556,42.066196225456,"G-Estimation","linear interactions","train"
0.459822222222222,43.9393998643616,"G-Estimation","linear interactions","train"
0.435377777777778,47.723989765686,"G-Estimation","linear interactions","train"
0.443733333333333,44.3590346600863,"G-Estimation","linear interactions","train"
0.443822222222222,45.3530508078469,"G-Estimation","linear interactions","train"
0.474755555555556,45.9439397179375,"G-Estimation","linear interactions","train"
0.423555555555556,47.4329257325911,"G-Estimation","linear interactions","train"
0.470044444444444,45.5784158515322,"G-Estimation","linear interactions","train"
0.456177777777778,41.0713460843207,"G-Estimation","linear interactions","train"
0.534222222222222,39.6096632494932,"G-Estimation","linear interactions","train"
0.441066666666667,46.1564454117552,"G-Estimation","linear interactions","train"
0.551111111111111,36.2409525797193,"G-Estimation","linear interactions","train"
0.517688888888889,36.5438283606616,"G-Estimation","linear interactions","train"
0.549066666666667,37.1429451963365,"G-Estimation","linear interactions","train"
0.495377777777778,43.5028373750597,"G-Estimation","linear interactions","train"
0.514844444444444,38.0053692651294,"G-Estimation","linear interactions","train"
0.479288888888889,41.7481381539706,"G-Estimation","linear interactions","train"
0.452266666666667,43.7845859611713,"G-Estimation","linear interactions","train"
0.4232,48.208632900832,"G-Estimation","linear interactions","train"
0.450755555555556,45.4501231227972,"G-Estimation","linear interactions","train"
0.507377777777778,43.741401793899,"G-Estimation","linear interactions","train"
0.524,38.7276281033324,"G-Estimation","linear interactions","train"
0.426577777777778,48.4290546632901,"G-Estimation","linear interactions","train"
0.555644444444444,35.1898159497126,"G-Estimation","linear interactions","train"
0.4208,48.0881295860195,"G-Estimation","linear interactions","train"
0.420088888888889,47.9563728339196,"G-Estimation","linear interactions","train"
0.440977777777778,46.1326206347177,"G-Estimation","linear interactions","train"
0.4736,44.0583734112092,"G-Estimation","linear interactions","train"
0.5848,33.3234024890571,"G-Estimation","linear interactions","train"
0.459022222222222,46.4968795439002,"G-Estimation","linear interactions","train"
0.507111111111111,44.288795167679,"G-Estimation","linear interactions","train"
0.497511111111111,40.749288143715,"G-Estimation","linear interactions","train"
0.457244444444444,43.3036860985458,"G-Estimation","linear interactions","train"
0.506933333333333,40.5039222582734,"G-Estimation","linear interactions","train"
0.4496,44.3924040026017,"G-Estimation","linear interactions","train"
0.453066666666667,44.5387921911359,"G-Estimation","linear interactions","train"
0.451822222222222,46.5395496289977,"G-Estimation","linear interactions","train"
